Model Name,CV Mean Accuracy,CV Std Dev,Test Accuracy,Precision,Recall (Sensitivity),Specificity,F1-Score,ROC-AUC
Gradient Boosting,0.7467880211391662,0.05340114165922996,0.8017241379310345,0.717948717948718,0.7,0.8552631578947368,0.7088607594936709,0.8480263157894736
XGBoost,0.7590722254844392,0.051345660922770715,0.7931034482758621,0.7,0.7,0.8421052631578947,0.7,0.850328947368421
K-Nearest Neighbors,0.7560775102759836,0.029340381027816373,0.7931034482758621,0.7222222222222222,0.65,0.868421052631579,0.6842105263157895,0.7891447368421053
Random Forest,0.7652260716382854,0.031321803353578224,0.7672413793103449,0.6666666666666666,0.65,0.8289473684210527,0.6582278481012658,0.846546052631579
Support Vector Machine,0.7699354081033472,0.027527826822294234,0.7241379310344828,0.6111111111111112,0.55,0.8157894736842105,0.5789473684210527,0.8463815789473683
Logistic Regression,0.7775924838520257,0.031991919734509607,0.7155172413793104,0.5897435897435898,0.575,0.7894736842105263,0.5822784810126582,0.8467105263157895

